district_gadm,state_gadm,year,q,quarter,quarter_num
Jalgaon,Maharashtra,2020,2,2020Q2,22
Jalgaon,Maharashtra,2020,3,2020Q3,23
Jalgaon,Maharashtra,2020,4,2020Q4,24
Jalgaon,Maharashtra,2021,1,2021Q1,25
Jalgaon,Maharashtra,2021,2,2021Q2,26
Jalgaon,Maharashtra,2021,3,2021Q3,27
Jalgaon,Maharashtra,2021,4,2021Q4,28
Jalgaon,Maharashtra,2022,1,2022Q1,29
Jalgaon,Maharashtra,2022,2,2022Q2,30
Jalgaon,Maharashtra,2022,3,2022Q3,31
Jalgaon,Maharashtra,2022,4,2022Q4,32
Jalgaon,Maharashtra,2023,1,2023Q1,33
Jalgaon,Maharashtra,2023,2,2023Q2,34
Jalgaon,Maharashtra,2023,3,2023Q3,35
Jalgaon,Maharashtra,2023,4,2023Q4,36
Jalgaon,Maharashtra,2024,1,2024Q1,37
Jalgaon,Maharashtra,2024,2,2024Q2,38
Jalgaon,Maharashtra,2024,3,2024Q3,39
Jalgaon,Maharashtra,2024,4,2024Q4,40
Jalna,Maharashtra,2015,1,2015Q1,1
Jalna,Maharashtra,2015,2,2015Q2,2
Jalna,Maharashtra,2015,3,2015Q3,3
Jalna,Maharashtra,2015,4,2015Q4,4
Jalna,Maharashtra,2016,1,2016Q1,5
Jalna,Maharashtra,2016,2,2016Q2,6
Jalna,Maharashtra,2016,3,2016Q3,7
Jalna,Maharashtra,2016,4,2016Q4,8
Jalna,Maharashtra,2017,1,2017Q1,9
Jalna,Maharashtra,2017,2,2017Q2,10
Jalna,Maharashtra,2017,3,2017Q3,11
Jalna,Maharashtra,2017,4,2017Q4,12
Jalna,Maharashtra,2018,1,2018Q1,13
Jalna,Maharashtra,2018,2,2018Q2,14
Jalna,Maharashtra,2018,3,2018Q3,15
Jalna,Maharashtra,2018,4,2018Q4,16
Jalna,Maharashtra,2019,1,2019Q1,17
Jalna,Maharashtra,2019,2,2019Q2,18
Jalna,Maharashtra,2019,3,2019Q3,19
Jalna,Maharashtra,2019,4,2019Q4,20
Jalna,Maharashtra,2020,1,2020Q1,21
Jalna,Maharashtra,2020,2,2020Q2,22
Jalna,Maharashtra,2020,3,2020Q3,23
Jalna,Maharashtra,2020,4,2020Q4,24
Jalna,Maharashtra,2021,1,2021Q1,25
Jalna,Maharashtra,2021,2,2021Q2,26
Jalna,Maharashtra,2021,3,2021Q3,27
Jalna,Maharashtra,2021,4,2021Q4,28
Jalna,Maharashtra,2022,1,2022Q1,29
Jalna,Maharashtra,2022,2,2022Q2,30
Jalna,Maharashtra,2022,3,2022Q3,31
Jalna,Maharashtra,2022,4,2022Q4,32
Jalna,Maharashtra,2023,1,2023Q1,33
Jalna,Maharashtra,2023,2,2023Q2,34
Jalna,Maharashtra,2023,3,2023Q3,35
Jalna,Maharashtra,2023,4,2023Q4,36
Jalna,Maharashtra,2024,1,2024Q1,37
Jalna,Maharashtra,2024,2,2024Q2,38
Jalna,Maharashtra,2024,3,2024Q3,39
Jalna,Maharashtra,2024,4,2024Q4,40
Kolhapur,Maharashtra,2015,1,2015Q1,1
Kolhapur,Maharashtra,2015,2,2015Q2,2
Kolhapur,Maharashtra,2015,3,2015Q3,3
Kolhapur,Maharashtra,2015,4,2015Q4,4
Kolhapur,Maharashtra,2016,1,2016Q1,5
Kolhapur,Maharashtra,2016,2,2016Q2,6
Kolhapur,Maharashtra,2016,3,2016Q3,7
Kolhapur,Maharashtra,2016,4,2016Q4,8
Kolhapur,Maharashtra,2017,1,2017Q1,9
Kolhapur,Maharashtra,2017,2,2017Q2,10
Kolhapur,Maharashtra,2017,3,2017Q3,11
Kolhapur,Maharashtra,2017,4,2017Q4,12
Kolhapur,Maharashtra,2018,1,2018Q1,13
Kolhapur,Maharashtra,2018,2,2018Q2,14
Kolhapur,Maharashtra,2018,3,2018Q3,15
Kolhapur,Maharashtra,2018,4,2018Q4,16
Kolhapur,Maharashtra,2019,1,2019Q1,17
Kolhapur,Maharashtra,2019,2,2019Q2,18
Kolhapur,Maharashtra,2019,3,2019Q3,19
Kolhapur,Maharashtra,2019,4,2019Q4,20
Kolhapur,Maharashtra,2020,1,2020Q1,21
Kolhapur,Maharashtra,2020,2,2020Q2,22
Kolhapur,Maharashtra,2020,3,2020Q3,23
Kolhapur,Maharashtra,2020,4,2020Q4,24
Kolhapur,Maharashtra,2021,1,2021Q1,25
Kolhapur,Maharashtra,2021,2,2021Q2,26
Kolhapur,Maharashtra,2021,3,2021Q3,27
Kolhapur,Maharashtra,2021,4,2021Q4,28
Kolhapur,Maharashtra,2022,1,2022Q1,29
Kolhapur,Maharashtra,2022,2,2022Q2,30
Kolhapur,Maharashtra,2022,3,2022Q3,31
Kolhapur,Maharashtra,2022,4,2022Q4,32
Kolhapur,Maharashtra,2023,1,2023Q1,33
Kolhapur,Maharashtra,2023,2,2023Q2,34
Kolhapur,Maharashtra,2023,3,2023Q3,35
Kolhapur,Maharashtra,2023,4,2023Q4,36
Kolhapur,Maharashtra,2024,1,2024Q1,37
Kolhapur,Maharashtra,2024,2,2024Q2,38
Kolhapur,Maharashtra,2024,3,2024Q3,39
Kolhapur,Maharashtra,2024,4,2024Q4,40
Latur,Maharashtra,2015,1,2015Q1,1
Latur,Maharashtra,2015,2,2015Q2,2
Latur,Maharashtra,2015,3,2015Q3,3
Latur,Maharashtra,2015,4,2015Q4,4
Latur,Maharashtra,2016,1,2016Q1,5
Latur,Maharashtra,2016,2,2016Q2,6
Latur,Maharashtra,2016,3,2016Q3,7
Latur,Maharashtra,2016,4,2016Q4,8
Latur,Maharashtra,2017,1,2017Q1,9
Latur,Maharashtra,2017,2,2017Q2,10
Latur,Maharashtra,2017,3,2017Q3,11
Latur,Maharashtra,2017,4,2017Q4,12
Latur,Maharashtra,2018,1,2018Q1,13
Latur,Maharashtra,2018,2,2018Q2,14
Latur,Maharashtra,2018,3,2018Q3,15
Latur,Maharashtra,2018,4,2018Q4,16
Latur,Maharashtra,2019,1,2019Q1,17
Latur,Maharashtra,2019,2,2019Q2,18
Latur,Maharashtra,2019,3,2019Q3,19
Latur,Maharashtra,2019,4,2019Q4,20
Latur,Maharashtra,2020,1,2020Q1,21
Latur,Maharashtra,2020,2,2020Q2,22
Latur,Maharashtra,2020,3,2020Q3,23
Latur,Maharashtra,2020,4,2020Q4,24
Latur,Maharashtra,2021,1,2021Q1,25
Latur,Maharashtra,2021,2,2021Q2,26
Latur,Maharashtra,2021,3,2021Q3,27
Latur,Maharashtra,2021,4,2021Q4,28
Latur,Maharashtra,2022,1,2022Q1,29
Latur,Maharashtra,2022,2,2022Q2,30
Latur,Maharashtra,2022,3,2022Q3,31
Latur,Maharashtra,2022,4,2022Q4,32
Latur,Maharashtra,2023,1,2023Q1,33
Latur,Maharashtra,2023,2,2023Q2,34
Latur,Maharashtra,2023,3,2023Q3,35
Latur,Maharashtra,2023,4,2023Q4,36
Latur,Maharashtra,2024,1,2024Q1,37
Latur,Maharashtra,2024,2,2024Q2,38
Latur,Maharashtra,2024,3,2024Q3,39
Latur,Maharashtra,2024,4,2024Q4,40
Mumbai City,Maharashtra,2015,1,2015Q1,1
Mumbai City,Maharashtra,2015,2,2015Q2,2
Mumbai City,Maharashtra,2015,3,2015Q3,3
Mumbai City,Maharashtra,2015,4,2015Q4,4
Mumbai City,Maharashtra,2016,1,2016Q1,5
Mumbai City,Maharashtra,2016,2,2016Q2,6
Mumbai City,Maharashtra,2016,3,2016Q3,7
Mumbai City,Maharashtra,2016,4,2016Q4,8
Mumbai City,Maharashtra,2017,1,2017Q1,9
Mumbai City,Maharashtra,2017,2,2017Q2,10
Mumbai City,Maharashtra,2017,3,2017Q3,11
Mumbai City,Maharashtra,2017,4,2017Q4,12
Mumbai City,Maharashtra,2018,1,2018Q1,13
Mumbai City,Maharashtra,2018,2,2018Q2,14
Mumbai City,Maharashtra,2018,3,2018Q3,15
Mumbai City,Maharashtra,2018,4,2018Q4,16
Mumbai City,Maharashtra,2019,1,2019Q1,17
Mumbai City,Maharashtra,2019,2,2019Q2,18
Mumbai City,Maharashtra,2019,3,2019Q3,19
Mumbai City,Maharashtra,2019,4,2019Q4,20
Mumbai City,Maharashtra,2020,1,2020Q1,21
Mumbai City,Maharashtra,2020,2,2020Q2,22
Mumbai City,Maharashtra,2020,3,2020Q3,23
Mumbai City,Maharashtra,2020,4,2020Q4,24
Mumbai City,Maharashtra,2021,1,2021Q1,25
Mumbai City,Maharashtra,2021,2,2021Q2,26
Mumbai City,Maharashtra,2021,3,2021Q3,27
Mumbai City,Maharashtra,2021,4,2021Q4,28
Mumbai City,Maharashtra,2022,1,2022Q1,29
Mumbai City,Maharashtra,2022,2,2022Q2,30
Mumbai City,Maharashtra,2022,3,2022Q3,31
Mumbai City,Maharashtra,2022,4,2022Q4,32
Mumbai City,Maharashtra,2023,1,2023Q1,33
Mumbai City,Maharashtra,2023,2,2023Q2,34
Mumbai City,Maharashtra,2023,3,2023Q3,35
Mumbai City,Maharashtra,2023,4,2023Q4,36
Mumbai City,Maharashtra,2024,1,2024Q1,37
Mumbai City,Maharashtra,2024,2,2024Q2,38
Mumbai City,Maharashtra,2024,3,2024Q3,39
Mumbai City,Maharashtra,2024,4,2024Q4,40
Mumbai Suburban,Maharashtra,2015,1,2015Q1,1
Mumbai Suburban,Maharashtra,2015,2,2015Q2,2
Mumbai Suburban,Maharashtra,2015,3,2015Q3,3
Mumbai Suburban,Maharashtra,2015,4,2015Q4,4
Mumbai Suburban,Maharashtra,2016,1,2016Q1,5
Mumbai Suburban,Maharashtra,2016,2,2016Q2,6
Mumbai Suburban,Maharashtra,2016,3,2016Q3,7
Mumbai Suburban,Maharashtra,2016,4,2016Q4,8
Mumbai Suburban,Maharashtra,2017,1,2017Q1,9
Mumbai Suburban,Maharashtra,2017,2,2017Q2,10
Mumbai Suburban,Maharashtra,2017,3,2017Q3,11
Mumbai Suburban,Maharashtra,2017,4,2017Q4,12
Mumbai Suburban,Maharashtra,2018,1,2018Q1,13
Mumbai Suburban,Maharashtra,2018,2,2018Q2,14
Mumbai Suburban,Maharashtra,2018,3,2018Q3,15
Mumbai Suburban,Maharashtra,2018,4,2018Q4,16
Mumbai Suburban,Maharashtra,2019,1,2019Q1,17
Mumbai Suburban,Maharashtra,2019,2,2019Q2,18
Mumbai Suburban,Maharashtra,2019,3,2019Q3,19
Mumbai Suburban,Maharashtra,2019,4,2019Q4,20
Mumbai Suburban,Maharashtra,2020,1,2020Q1,21
Mumbai Suburban,Maharashtra,2020,2,2020Q2,22
Mumbai Suburban,Maharashtra,2020,3,2020Q3,23
Mumbai Suburban,Maharashtra,2020,4,2020Q4,24
Mumbai Suburban,Maharashtra,2021,1,2021Q1,25
Mumbai Suburban,Maharashtra,2021,2,2021Q2,26
Mumbai Suburban,Maharashtra,2021,3,2021Q3,27
Mumbai Suburban,Maharashtra,2021,4,2021Q4,28
Mumbai Suburban,Maharashtra,2022,1,2022Q1,29
Mumbai Suburban,Maharashtra,2022,2,2022Q2,30
Mumbai Suburban,Maharashtra,2022,3,2022Q3,31
Mumbai Suburban,Maharashtra,2022,4,2022Q4,32
Mumbai Suburban,Maharashtra,2023,1,2023Q1,33
Mumbai Suburban,Maharashtra,2023,2,2023Q2,34
Mumbai Suburban,Maharashtra,2023,3,2023Q3,35
Mumbai Suburban,Maharashtra,2023,4,2023Q4,36
Mumbai Suburban,Maharashtra,2024,1,2024Q1,37
Mumbai Suburban,Maharashtra,2024,2,2024Q2,38
Mumbai Suburban,Maharashtra,2024,3,2024Q3,39
Mumbai Suburban,Maharashtra,2024,4,2024Q4,40
Nagpur,Maharashtra,2015,1,2015Q1,1
Nagpur,Maharashtra,2015,2,2015Q2,2
Nagpur,Maharashtra,2015,3,2015Q3,3
Nagpur,Maharashtra,2015,4,2015Q4,4
Nagpur,Maharashtra,2016,1,2016Q1,5
Nagpur,Maharashtra,2016,2,2016Q2,6
Nagpur,Maharashtra,2016,3,2016Q3,7
Nagpur,Maharashtra,2016,4,2016Q4,8
Nagpur,Maharashtra,2017,1,2017Q1,9
Nagpur,Maharashtra,2017,2,2017Q2,10
Nagpur,Maharashtra,2017,3,2017Q3,11
Nagpur,Maharashtra,2017,4,2017Q4,12
Nagpur,Maharashtra,2018,1,2018Q1,13
Nagpur,Maharashtra,2018,2,2018Q2,14
Nagpur,Maharashtra,2018,3,2018Q3,15
Nagpur,Maharashtra,2018,4,2018Q4,16
Nagpur,Maharashtra,2019,1,2019Q1,17
Nagpur,Maharashtra,2019,2,2019Q2,18
Nagpur,Maharashtra,2019,3,2019Q3,19
Nagpur,Maharashtra,2019,4,2019Q4,20
Nagpur,Maharashtra,2020,1,2020Q1,21
Nagpur,Maharashtra,2020,2,2020Q2,22
Nagpur,Maharashtra,2020,3,2020Q3,23
Nagpur,Maharashtra,2020,4,2020Q4,24
Nagpur,Maharashtra,2021,1,2021Q1,25
Nagpur,Maharashtra,2021,2,2021Q2,26
Nagpur,Maharashtra,2021,3,2021Q3,27
Nagpur,Maharashtra,2021,4,2021Q4,28
Nagpur,Maharashtra,2022,1,2022Q1,29
Nagpur,Maharashtra,2022,2,2022Q2,30
Nagpur,Maharashtra,2022,3,2022Q3,31
Nagpur,Maharashtra,2022,4,2022Q4,32
Nagpur,Maharashtra,2023,1,2023Q1,33
Nagpur,Maharashtra,2023,2,2023Q2,34
Nagpur,Maharashtra,2023,3,2023Q3,35
Nagpur,Maharashtra,2023,4,2023Q4,36
Nagpur,Maharashtra,2024,1,2024Q1,37
Nagpur,Maharashtra,2024,2,2024Q2,38
Nagpur,Maharashtra,2024,3,2024Q3,39
Nagpur,Maharashtra,2024,4,2024Q4,40
Nanded,Maharashtra,2015,1,2015Q1,1
Nanded,Maharashtra,2015,2,2015Q2,2
Nanded,Maharashtra,2015,3,2015Q3,3
Nanded,Maharashtra,2015,4,2015Q4,4
Nanded,Maharashtra,2016,1,2016Q1,5
Nanded,Maharashtra,2016,2,2016Q2,6
Nanded,Maharashtra,2016,3,2016Q3,7
Nanded,Maharashtra,2016,4,2016Q4,8
Nanded,Maharashtra,2017,1,2017Q1,9
Nanded,Maharashtra,2017,2,2017Q2,10
Nanded,Maharashtra,2017,3,2017Q3,11
Nanded,Maharashtra,2017,4,2017Q4,12
Nanded,Maharashtra,2018,1,2018Q1,13
Nanded,Maharashtra,2018,2,2018Q2,14
Nanded,Maharashtra,2018,3,2018Q3,15
Nanded,Maharashtra,2018,4,2018Q4,16
Nanded,Maharashtra,2019,1,2019Q1,17
Nanded,Maharashtra,2019,2,2019Q2,18
Nanded,Maharashtra,2019,3,2019Q3,19
Nanded,Maharashtra,2019,4,2019Q4,20
Nanded,Maharashtra,2020,1,2020Q1,21
Nanded,Maharashtra,2020,2,2020Q2,22
Nanded,Maharashtra,2020,3,2020Q3,23
Nanded,Maharashtra,2020,4,2020Q4,24
Nanded,Maharashtra,2021,1,2021Q1,25
Nanded,Maharashtra,2021,2,2021Q2,26
Nanded,Maharashtra,2021,3,2021Q3,27
Nanded,Maharashtra,2021,4,2021Q4,28
Nanded,Maharashtra,2022,1,2022Q1,29
Nanded,Maharashtra,2022,2,2022Q2,30
Nanded,Maharashtra,2022,3,2022Q3,31
Nanded,Maharashtra,2022,4,2022Q4,32
Nanded,Maharashtra,2023,1,2023Q1,33
Nanded,Maharashtra,2023,2,2023Q2,34
Nanded,Maharashtra,2023,3,2023Q3,35
Nanded,Maharashtra,2023,4,2023Q4,36
Nanded,Maharashtra,2024,1,2024Q1,37
Nanded,Maharashtra,2024,2,2024Q2,38
Nanded,Maharashtra,2024,3,2024Q3,39
Nanded,Maharashtra,2024,4,2024Q4,40
Nandurbar,Maharashtra,2015,1,2015Q1,1
Nandurbar,Maharashtra,2015,2,2015Q2,2
Nandurbar,Maharashtra,2015,3,2015Q3,3
Nandurbar,Maharashtra,2015,4,2015Q4,4
Nandurbar,Maharashtra,2016,1,2016Q1,5
Nandurbar,Maharashtra,2016,2,2016Q2,6
Nandurbar,Maharashtra,2016,3,2016Q3,7
Nandurbar,Maharashtra,2016,4,2016Q4,8
Nandurbar,Maharashtra,2017,1,2017Q1,9
Nandurbar,Maharashtra,2017,2,2017Q2,10
Nandurbar,Maharashtra,2017,3,2017Q3,11
Nandurbar,Maharashtra,2017,4,2017Q4,12
Nandurbar,Maharashtra,2018,1,2018Q1,13
Nandurbar,Maharashtra,2018,2,2018Q2,14
Nandurbar,Maharashtra,2018,3,2018Q3,15
Nandurbar,Maharashtra,2018,4,2018Q4,16
Nandurbar,Maharashtra,2019,1,2019Q1,17
Nandurbar,Maharashtra,2019,2,2019Q2,18
Nandurbar,Maharashtra,2019,3,2019Q3,19
Nandurbar,Maharashtra,2019,4,2019Q4,20
Nandurbar,Maharashtra,2020,1,2020Q1,21
Nandurbar,Maharashtra,2020,2,2020Q2,22
Nandurbar,Maharashtra,2020,3,2020Q3,23
Nandurbar,Maharashtra,2020,4,2020Q4,24
Nandurbar,Maharashtra,2021,1,2021Q1,25
Nandurbar,Maharashtra,2021,2,2021Q2,26
Nandurbar,Maharashtra,2021,3,2021Q3,27
Nandurbar,Maharashtra,2021,4,2021Q4,28
Nandurbar,Maharashtra,2022,1,2022Q1,29
Nandurbar,Maharashtra,2022,2,2022Q2,30
Nandurbar,Maharashtra,2022,3,2022Q3,31
Nandurbar,Maharashtra,2022,4,2022Q4,32
Nandurbar,Maharashtra,2023,1,2023Q1,33
Nandurbar,Maharashtra,2023,2,2023Q2,34
Nandurbar,Maharashtra,2023,3,2023Q3,35
Nandurbar,Maharashtra,2023,4,2023Q4,36
Nandurbar,Maharashtra,2024,1,2024Q1,37
Nandurbar,Maharashtra,2024,2,2024Q2,38
Nandurbar,Maharashtra,2024,3,2024Q3,39
Nandurbar,Maharashtra,2024,4,2024Q4,40
Nashik,Maharashtra,2015,1,2015Q1,1
Nashik,Maharashtra,2015,2,2015Q2,2
Nashik,Maharashtra,2015,3,2015Q3,3
Nashik,Maharashtra,2015,4,2015Q4,4
Nashik,Maharashtra,2016,1,2016Q1,5
Nashik,Maharashtra,2016,2,2016Q2,6
Nashik,Maharashtra,2016,3,2016Q3,7
Nashik,Maharashtra,2016,4,2016Q4,8
Nashik,Maharashtra,2017,1,2017Q1,9
Nashik,Maharashtra,2017,2,2017Q2,10
Nashik,Maharashtra,2017,3,2017Q3,11
Nashik,Maharashtra,2017,4,2017Q4,12
Nashik,Maharashtra,2018,1,2018Q1,13
Nashik,Maharashtra,2018,2,2018Q2,14
Nashik,Maharashtra,2018,3,2018Q3,15
Nashik,Maharashtra,2018,4,2018Q4,16
Nashik,Maharashtra,2019,1,2019Q1,17
Nashik,Maharashtra,2019,2,2019Q2,18
Nashik,Maharashtra,2019,3,2019Q3,19
Nashik,Maharashtra,2019,4,2019Q4,20
Nashik,Maharashtra,2020,1,2020Q1,21
Nashik,Maharashtra,2020,2,2020Q2,22
Nashik,Maharashtra,2020,3,2020Q3,23
Nashik,Maharashtra,2020,4,2020Q4,24
Nashik,Maharashtra,2021,1,2021Q1,25
Nashik,Maharashtra,2021,2,2021Q2,26
Nashik,Maharashtra,2021,3,2021Q3,27
Nashik,Maharashtra,2021,4,2021Q4,28
Nashik,Maharashtra,2022,1,2022Q1,29
Nashik,Maharashtra,2022,2,2022Q2,30
Nashik,Maharashtra,2022,3,2022Q3,31
Nashik,Maharashtra,2022,4,2022Q4,32
Nashik,Maharashtra,2023,1,2023Q1,33
Nashik,Maharashtra,2023,2,2023Q2,34
Nashik,Maharashtra,2023,3,2023Q3,35
Nashik,Maharashtra,2023,4,2023Q4,36
Nashik,Maharashtra,2024,1,2024Q1,37
Nashik,Maharashtra,2024,2,2024Q2,38
Nashik,Maharashtra,2024,3,2024Q3,39
Nashik,Maharashtra,2024,4,2024Q4,40
Osmanabad,Maharashtra,2015,1,2015Q1,1
Osmanabad,Maharashtra,2015,2,2015Q2,2
Osmanabad,Maharashtra,2015,3,2015Q3,3
Osmanabad,Maharashtra,2015,4,2015Q4,4
Osmanabad,Maharashtra,2016,1,2016Q1,5
Osmanabad,Maharashtra,2016,2,2016Q2,6
Osmanabad,Maharashtra,2016,3,2016Q3,7
Osmanabad,Maharashtra,2016,4,2016Q4,8
Osmanabad,Maharashtra,2017,1,2017Q1,9
Osmanabad,Maharashtra,2017,2,2017Q2,10
Osmanabad,Maharashtra,2017,3,2017Q3,11
Osmanabad,Maharashtra,2017,4,2017Q4,12
Osmanabad,Maharashtra,2018,1,2018Q1,13
Osmanabad,Maharashtra,2018,2,2018Q2,14
Osmanabad,Maharashtra,2018,3,2018Q3,15
Osmanabad,Maharashtra,2018,4,2018Q4,16
Osmanabad,Maharashtra,2019,1,2019Q1,17
Osmanabad,Maharashtra,2019,2,2019Q2,18
Osmanabad,Maharashtra,2019,3,2019Q3,19
Osmanabad,Maharashtra,2019,4,2019Q4,20
Osmanabad,Maharashtra,2020,1,2020Q1,21
Osmanabad,Maharashtra,2020,2,2020Q2,22
Osmanabad,Maharashtra,2020,3,2020Q3,23
Osmanabad,Maharashtra,2020,4,2020Q4,24
Osmanabad,Maharashtra,2021,1,2021Q1,25
Osmanabad,Maharashtra,2021,2,2021Q2,26
Osmanabad,Maharashtra,2021,3,2021Q3,27
Osmanabad,Maharashtra,2021,4,2021Q4,28
Osmanabad,Maharashtra,2022,1,2022Q1,29
Osmanabad,Maharashtra,2022,2,2022Q2,30
Osmanabad,Maharashtra,2022,3,2022Q3,31
Osmanabad,Maharashtra,2022,4,2022Q4,32
Osmanabad,Maharashtra,2023,1,2023Q1,33
Osmanabad,Maharashtra,2023,2,2023Q2,34
Osmanabad,Maharashtra,2023,3,2023Q3,35
Osmanabad,Maharashtra,2023,4,2023Q4,36
Osmanabad,Maharashtra,2024,1,2024Q1,37
Osmanabad,Maharashtra,2024,2,2024Q2,38
Osmanabad,Maharashtra,2024,3,2024Q3,39
Osmanabad,Maharashtra,2024,4,2024Q4,40
Palghar,Maharashtra,2015,1,2015Q1,1
Palghar,Maharashtra,2015,2,2015Q2,2
Palghar,Maharashtra,2015,3,2015Q3,3
Palghar,Maharashtra,2015,4,2015Q4,4
Palghar,Maharashtra,2016,1,2016Q1,5
Palghar,Maharashtra,2016,2,2016Q2,6
Palghar,Maharashtra,2016,3,2016Q3,7
Palghar,Maharashtra,2016,4,2016Q4,8
Palghar,Maharashtra,2017,1,2017Q1,9
Palghar,Maharashtra,2017,2,2017Q2,10
Palghar,Maharashtra,2017,3,2017Q3,11
Palghar,Maharashtra,2017,4,2017Q4,12
Palghar,Maharashtra,2018,1,2018Q1,13
Palghar,Maharashtra,2018,2,2018Q2,14
Palghar,Maharashtra,2018,3,2018Q3,15
Palghar,Maharashtra,2018,4,2018Q4,16
Palghar,Maharashtra,2019,1,2019Q1,17
Palghar,Maharashtra,2019,2,2019Q2,18
Palghar,Maharashtra,2019,3,2019Q3,19
Palghar,Maharashtra,2019,4,2019Q4,20
Palghar,Maharashtra,2020,1,2020Q1,21
Palghar,Maharashtra,2020,2,2020Q2,22
Palghar,Maharashtra,2020,3,2020Q3,23
Palghar,Maharashtra,2020,4,2020Q4,24
Palghar,Maharashtra,2021,1,2021Q1,25
Palghar,Maharashtra,2021,2,2021Q2,26
Palghar,Maharashtra,2021,3,2021Q3,27
Palghar,Maharashtra,2021,4,2021Q4,28
Palghar,Maharashtra,2022,1,2022Q1,29
Palghar,Maharashtra,2022,2,2022Q2,30
Palghar,Maharashtra,2022,3,2022Q3,31
Palghar,Maharashtra,2022,4,2022Q4,32
Palghar,Maharashtra,2023,1,2023Q1,33
Palghar,Maharashtra,2023,2,2023Q2,34
Palghar,Maharashtra,2023,3,2023Q3,35
Palghar,Maharashtra,2023,4,2023Q4,36
Palghar,Maharashtra,2024,1,2024Q1,37
Palghar,Maharashtra,2024,2,2024Q2,38
Palghar,Maharashtra,2024,3,2024Q3,39
Palghar,Maharashtra,2024,4,2024Q4,40
Parbhani,Maharashtra,2015,1,2015Q1,1
Parbhani,Maharashtra,2015,2,2015Q2,2
Parbhani,Maharashtra,2015,3,2015Q3,3
Parbhani,Maharashtra,2015,4,2015Q4,4
Parbhani,Maharashtra,2016,1,2016Q1,5
Parbhani,Maharashtra,2016,2,2016Q2,6
Parbhani,Maharashtra,2016,3,2016Q3,7
Parbhani,Maharashtra,2016,4,2016Q4,8
Parbhani,Maharashtra,2017,1,2017Q1,9
Parbhani,Maharashtra,2017,2,2017Q2,10
Parbhani,Maharashtra,2017,3,2017Q3,11
Parbhani,Maharashtra,2017,4,2017Q4,12
Parbhani,Maharashtra,2018,1,2018Q1,13
Parbhani,Maharashtra,2018,2,2018Q2,14
Parbhani,Maharashtra,2018,3,2018Q3,15
Parbhani,Maharashtra,2018,4,2018Q4,16
Parbhani,Maharashtra,2019,1,2019Q1,17
Parbhani,Maharashtra,2019,2,2019Q2,18
Parbhani,Maharashtra,2019,3,2019Q3,19
Parbhani,Maharashtra,2019,4,2019Q4,20
Parbhani,Maharashtra,2020,1,2020Q1,21
Parbhani,Maharashtra,2020,2,2020Q2,22
Parbhani,Maharashtra,2020,3,2020Q3,23
Parbhani,Maharashtra,2020,4,2020Q4,24
Parbhani,Maharashtra,2021,1,2021Q1,25
Parbhani,Maharashtra,2021,2,2021Q2,26
Parbhani,Maharashtra,2021,3,2021Q3,27
Parbhani,Maharashtra,2021,4,2021Q4,28
Parbhani,Maharashtra,2022,1,2022Q1,29
Parbhani,Maharashtra,2022,2,2022Q2,30
Parbhani,Maharashtra,2022,3,2022Q3,31
Parbhani,Maharashtra,2022,4,2022Q4,32
Parbhani,Maharashtra,2023,1,2023Q1,33
Parbhani,Maharashtra,2023,2,2023Q2,34
Parbhani,Maharashtra,2023,3,2023Q3,35
Parbhani,Maharashtra,2023,4,2023Q4,36
Parbhani,Maharashtra,2024,1,2024Q1,37
Parbhani,Maharashtra,2024,2,2024Q2,38
Parbhani,Maharashtra,2024,3,2024Q3,39
Parbhani,Maharashtra,2024,4,2024Q4,40
Pune,Maharashtra,2015,1,2015Q1,1
Pune,Maharashtra,2015,2,2015Q2,2
Pune,Maharashtra,2015,3,2015Q3,3
Pune,Maharashtra,2015,4,2015Q4,4
Pune,Maharashtra,2016,1,2016Q1,5
Pune,Maharashtra,2016,2,2016Q2,6
Pune,Maharashtra,2016,3,2016Q3,7
Pune,Maharashtra,2016,4,2016Q4,8
Pune,Maharashtra,2017,1,2017Q1,9
Pune,Maharashtra,2017,2,2017Q2,10
Pune,Maharashtra,2017,3,2017Q3,11
Pune,Maharashtra,2017,4,2017Q4,12
Pune,Maharashtra,2018,1,2018Q1,13
Pune,Maharashtra,2018,2,2018Q2,14
Pune,Maharashtra,2018,3,2018Q3,15
Pune,Maharashtra,2018,4,2018Q4,16
Pune,Maharashtra,2019,1,2019Q1,17
Pune,Maharashtra,2019,2,2019Q2,18
Pune,Maharashtra,2019,3,2019Q3,19
Pune,Maharashtra,2019,4,2019Q4,20
Pune,Maharashtra,2020,1,2020Q1,21
Pune,Maharashtra,2020,2,2020Q2,22
Pune,Maharashtra,2020,3,2020Q3,23
Pune,Maharashtra,2020,4,2020Q4,24
Pune,Maharashtra,2021,1,2021Q1,25
Pune,Maharashtra,2021,2,2021Q2,26
Pune,Maharashtra,2021,3,2021Q3,27
Pune,Maharashtra,2021,4,2021Q4,28
Pune,Maharashtra,2022,1,2022Q1,29
Pune,Maharashtra,2022,2,2022Q2,30
Pune,Maharashtra,2022,3,2022Q3,31
Pune,Maharashtra,2022,4,2022Q4,32
Pune,Maharashtra,2023,1,2023Q1,33
Pune,Maharashtra,2023,2,2023Q2,34
Pune,Maharashtra,2023,3,2023Q3,35
Pune,Maharashtra,2023,4,2023Q4,36
Pune,Maharashtra,2024,1,2024Q1,37
